fixture_id,kickoff,league,home_team,away_team,prediction_timestamp,status,v40_p_home,v40_p_draw,v40_p_away,v40_prediction,candidate_p_home,candidate_p_draw,candidate_p_away,candidate_prediction,v40_expected_home_goals,v40_expected_away_goals,candidate_expected_home_goals,candidate_expected_away_goals,candidate_predicted_home_goals,candidate_predicted_away_goals,candidate_predicted_score,draw_risk_score,draw_risk_tier,actual_home_goals,actual_away_goals,actual_result,v40_correct,candidate_correct
420593587,2026-08-30T13:00:00.000000Z,Premier League,Chelsea,Brighton & Hove Albion,2026-08-24T11:51:20.207460+00:00,NS,0.356,0.26,0.384,A,0.272,0.2724,0.4556,A,1.1,1.6,1.08,1.57,1,1,1-1,0.6061,MEDIUM,,,,,
420593586,2026-08-30T13:00:00.000000Z,Premier League,Leeds United,Brentford,2026-08-24T11:51:20.207460+00:00,NS,0.444,0.26,0.296,H,0.4866,0.2691,0.2443,H,1.65,1.05,1.62,1.03,1,1,1-1,0.4025,MEDIUM,,,,,
420593585,2026-08-30T13:00:00.000000Z,Premier League,Sunderland,Fulham,2026-08-24T11:51:20.207460+00:00,NS,0.4,0.27,0.33,H,0.4777,0.2712,0.2511,H,1.65,1.05,1.62,1.03,1,1,1-1,0.5434,MEDIUM,,,,,
420593584,2026-08-30T13:00:00.000000Z,Ligue 1,Paris,Nice,2026-08-24T11:51:20.207460+00:00,NS,0.494,0.252,0.254,H,0.4967,0.2673,0.236,H,1.65,1.05,1.62,1.03,1,1,1-1,0.2892,LOW,,,,,
420593696,2026-08-30T13:30:00.000000Z,Bundesliga,SC Freiburg,Werder Bremen,2026-08-24T11:51:20.207460+00:00,NS,0.485,0.24,0.275,H,0.495,0.2647,0.2403,H,1.65,1.05,1.62,1.03,1,1,1-1,0.2535,LOW,,,,,
420593770,2026-08-30T15:00:00.000000Z,La Liga,Real Madrid,Málaga,2026-08-24T11:51:20.207460+00:00,NS,0.628,0.18,0.192,H,0.5247,0.2514,0.2239,H,1.65,1.05,1.62,1.03,1,1,1-1,0.0857,LOW,,,,,
420593778,2026-08-30T15:15:00.000000Z,Ligue 1,Rennes,Le Mans,2026-08-24T11:51:20.207460+00:00,NS,0.553,0.207,0.239,H,0.5092,0.2575,0.2333,H,1.65,1.05,1.62,1.03,1,1,1-1,0.1531,LOW,,,,,
420593779,2026-08-30T15:30:00.000000Z,Premier League,Manchester United,Ipswich Town,2026-08-24T11:51:20.207460+00:00,NS,0.659,0.168,0.173,H,0.5312,0.2487,0.2201,H,1.65,1.05,1.62,1.03,1,1,1-1,0.0857,LOW,,,,,
420593780,2026-08-30T15:30:00.000000Z,Bundesliga,FC Augsburg,Schalke 04,2026-08-24T11:51:20.207460+00:00,NS,0.506,0.221,0.273,H,0.4995,0.2606,0.24,H,1.65,1.05,1.62,1.03,1,1,1-1,0.1954,LOW,,,,,
420593795,2026-08-30T16:30:00.000000Z,Serie A,Napoli,Como,2026-08-24T11:51:20.207460+00:00,NS,0.401,0.265,0.333,H,0.478,0.2702,0.2518,H,1.65,1.05,1.62,1.03,1,1,1-1,0.532,MEDIUM,,,,,
420593808,2026-08-30T17:30:00.000000Z,La Liga,Deportivo A Coruña,Valencia,2026-08-24T11:51:20.207460+00:00,NS,0.41,0.268,0.322,H,0.4797,0.2708,0.2495,H,1.65,1.05,1.62,1.03,1,1,1-1,0.5118,MEDIUM,,,,,
420593827,2026-08-30T18:45:00.000000Z,Serie A,Lazio,Genoa,2026-08-24T11:51:20.207460+00:00,NS,0.482,0.251,0.267,H,0.4943,0.2671,0.2386,H,1.65,1.05,1.62,1.03,1,1,1-1,0.2862,LOW,,,,,
420593829,2026-08-30T18:45:00.000000Z,Ligue 1,Monaco,Olympique Marseille,2026-08-24T11:51:20.207460+00:00,NS,0.429,0.244,0.327,H,0.4837,0.2656,0.2506,H,1.65,1.05,1.62,1.03,1,1,1-1,0.4197,MEDIUM,,,,,
420593828,2026-08-30T18:45:00.000000Z,Serie A,Cagliari,Inter,2026-08-24T11:51:20.207460+00:00,NS,0.246,0.214,0.539,A,0.2503,0.2624,0.4873,A,1.1,1.6,1.08,1.57,1,1,1-1,0.2074,LOW,,,,,
420593832,2026-08-30T19:30:00.000000Z,La Liga,Celta de Vigo,Athletic Club,2026-08-24T11:51:20.207460+00:00,NS,0.367,0.266,0.367,A,0.2742,0.2737,0.4522,A,1.1,1.6,1.08,1.57,1,1,1-1,0.6638,HIGH,,,,,
420599457,2026-08-31T16:30:00.000000Z,Serie A,Lecce,Roma,2026-08-24T11:51:20.207460+00:00,NS,0.23,0.241,0.529,A,0.2469,0.2682,0.4848,A,1.1,1.6,1.08,1.57,1,1,1-1,0.2889,LOW,,,,,
420599461,2026-08-31T17:30:00.000000Z,La Liga,Osasuna,Getafe,2026-08-24T11:51:20.207460+00:00,NS,0.446,0.271,0.284,H,0.4868,0.2714,0.2418,H,1.65,1.05,1.62,1.03,1,1,1-1,0.415,MEDIUM,,,,,
